g,type,rco,ti,at,n0,p,a,r1,theta,v
61,mean,9782.20024425,0.0184482758621,0.0,1.35,2.8751226365e-05,1.46310344828,934.14,3.14151405008,1.37232859339e-05
62,best,9760.018,0.02025,0.0,1.35,2.88165447273e-05,1.4595,934.14,3.14151367711,1.37786045361e-05
62,mean,9779.44183046,0.0187672413793,0.0,1.35,2.87593408767e-05,1.46246551724,934.14,3.14151399358,1.37314212185e-05
63,best,9760.018,0.02025,0.0,1.35,2.88165447273e-05,1.4595,934.14,3.14151367711,1.37786045361e-05
63,mean,9773.50536047,0.0190988372093,0.0,1.35,2.87768081e-05,1.46180232558,934.14,3.14151391011,1.37441941977e-05
64,best,9750.01875,0.02025,0.0,1.35,2.88460978481e-05,1.4595,934.14,3.14151359611,1.37927353338e-05
64,mean,9768.91977134,0.0194176829268,0.0,1.35,2.8790311129e-05,1.46116463415,934.14,3.14151383881,1.37549105595e-05
65,best,9750.01875,0.02025,0.0,1.35,2.88460978481e-05,1.4595,934.14,3.14151359611,1.37927353338e-05
65,mean,9766.23704573,0.0199481707317,0.0,1.35,2.87982185643e-05,1.46010365854,934.14,3.1415137599,1.37657966258e-05
66,best,9750.01875,0.021,0.0,1.35,2.88460978481e-05,1.458,934.14,3.14151351478,1.38028252424e-05
66,mean,9760.92702273,0.0201428571429,0.0,1.35,2.88138804748e-05,1.45971428571,934.14,3.14151369591,1.37758995912e-05
67,best,9750.01875,0.02175,0.0,1.35,2.88460978481e-05,1.4565,934.14,3.14151343327,1.38129304872e-05
67,mean,9757.64975658,0.0204375,0.0,1.35,2.88235619576e-05,1.459125,934.14,3.14151363751,1.37844844128e-05
68,best,9740.0195,0.021,0.0,1.35,2.88757128146e-05,1.458,934.14,3.14151343353,1.38169959704e-05
68,mean,9750.77818671,0.0204683544304,0.0,1.35,2.88438689644e-05,1.45906329114,934.14,3.1415135785,1.3794610113e-05
69,best,9740.0195,0.0225,0.0,1.35,2.88757128146e-05,1.455,934.14,3.14151327019,1.38372425952e-05
69,mean,9747.97344886,0.0206505681818,0.0,1.35,2.8852167361e-05,1.45869886364,934.14,3.14151353598,1.38010310902e-05
70,best,9740.0195,0.02325,0.0,1.35,2.88757128146e-05,1.4535,934.14,3.14151318826,1.38473890204e-05
70,mean,9744.0192,0.0209382352941,0.0,1.35,2.8863872499e-05,1.45812352941,934.14,3.14151347262,1.38105068904e-05
71,best,9730.02025,0.02325,0.0,1.35,2.89053878078e-05,1.4535,934.14,3.1415131066,1.38616197054e-05
71,mean,9740.85277083,0.0212946428571,0.0,1.35,2.88732613799e-05,1.45741071429,934.14,3.14151340811,1.38198045954e-05
72,best,9720.021,0.0225,0.0,1.35,2.89351228275e-05,1.455,934.14,3.14151310686,1.38657118754e-05
72,mean,9738.16778704,0.0218148148148,0.0,1.35,2.88812297197e-05,1.45637037037,934.14,3.14151332959,1.3830640508e-05
73,best,9720.021,0.024,0.0,1.35,2.89351228275e-05,1.452,934.14,3.14151294251,1.38860619628e-05
73,mean,9733.84712346,0.0221574074074,0.0,1.35,2.88940552343e-05,1.45568518519,934.14,3.14151325704,1.38414100069e-05
74,best,9710.02175,0.024,0.0,1.35,2.8964919693e-05,1.452,934.14,3.14151286042,1.39003615779e-05
74,mean,9728.1911189,0.0224451219512,0.0,1.35,2.89108581744e-05,1.4551097561,934.14,3.14151317949,1.38533477649e-05
75,best,9700.0225,0.02325,0.0,1.35,2.8994778404e-05,1.4535,934.14,3.1415128606,1.39044870926e-05
75,mean,9723.62538081,0.0227093023256,0.0,1.35,2.89244299618e-05,1.45458139535,934.14,3.1415131133,1.38634290391e-05
76,best,9700.0225,0.024,0.0,1.35,2.8994778404e-05,1.452,934.14,3.14151277817,1.3914690873e-05
76,mean,9717.67549691,0.0229074074074,0.0,1.35,2.89421456537e-05,1.45418518519,934.14,3.14151304293,1.38746029148e-05
77,best,9700.0225,0.024,0.0,1.35,2.8994778404e-05,1.452,934.14,3.14151277817,1.3914690873e-05
77,mean,9713.39359012,0.0231191860465,0.0,1.35,2.89548999167e-05,1.45376162791,934.14,3.14151298461,1.38835930576e-05
78,best,9680.024,0.02325,0.0,1.35,2.90546795441e-05,1.4535,934.14,3.14151269575,1.39332127692e-05
78,mean,9708.85300649,0.0233084415584,0.0,1.35,2.89684433117e-05,1.45338311688,934.14,3.14151292658,1.38926582634e-05
79,best,9680.024,0.0255,0.0,1.35,2.90546795441e-05,1.449,934.14,3.14151244744,1.3963934138e-05
79,mean,9706.49260294,0.0235941176471,0.0,1.35,2.89754762301e-05,1.45281176471,934.14,3.14151287583,1.38999172691e-05
80,best,9680.024,0.0255,0.0,1.35,2.90546795441e-05,1.449,934.14,3.14151244744,1.3963934138e-05
80,mean,9703.72592593,0.0238611111111,0.0,1.35,2.89837493323e-05,1.45227777778,934.14,3.14151282372,1.39075162278e-05
81,best,9680.024,0.02625,0.0,1.35,2.90546795441e-05,1.4475,934.14,3.14151236432,1.39742058543e-05
81,mean,9701.24192073,0.0242103658537,0.0,1.35,2.89911768937e-05,1.45157926829,934.14,3.14151276482,1.39158366905e-05
82,best,9670.02475,0.0255,0.0,1.35,2.9084723792e-05,1.449,934.14,3.1415123645,1.39783736674e-05
82,mean,9697.89765937,0.02401875,0.0,1.35,2.900117031e-05,1.4519625,934.14,3.14151275833,1.39180283562e-05
83,best,9670.02475,0.027,0.0,1.35,2.9084723792e-05,1.446,934.14,3.14151219792,1.39989540471e-05
83,mean,9692.5230625,0.02454375,0.0,1.35,2.90172470159e-05,1.4509125,934.14,3.14151265618,1.39329026069e-05
84,best,9670.02475,0.027,0.0,1.35,2.9084723792e-05,1.446,934.14,3.14151219792,1.39989540471e-05
84,mean,9689.78797353,0.0251823529412,0.0,1.35,2.90254329764e-05,1.44963529412,934.14,3.14151256313,1.39455516692e-05
85,best,9670.02475,0.027,0.0,1.35,2.9084723792e-05,1.446,934.14,3.14151219792,1.39989540471e-05
85,mean,9685.023625,0.025546875,0.0,1.35,2.90397147182e-05,1.44890625,934.14,3.14151248346,1.39573922401e-05
86,best,9660.0255,0.02625,0.0,1.35,2.91148298857e-05,1.4475,934.14,3.1415121981,1.40031359017e-05
86,mean,9681.41924419,0.0258226744186,0.0,1.35,2.90505275527e-05,1.44835465116,934.14,3.14151242309,1.39663615077e-05
87,best,9650.02625,0.02625,0.0,1.35,2.91449978249e-05,1.4475,934.14,3.14151211474,1.40176455435e-05
87,mean,9673.53098052,0.026025974026,0.0,1.35,2.90742106475e-05,1.44794805195,934.14,3.14151233515,1.39805325649e-05
88,best,9650.02625,0.027,0.0,1.35,2.91449978249e-05,1.446,934.14,3.14151203119,1.40279649266e-05
88,mean,9670.37766471,0.0263558823529,0.0,1.35,2.90836940728e-05,1.44728823529,934.14,3.1415122723,1.39896206058e-05
89,best,9640.027,0.027,0.0,1.35,2.91752294288e-05,1.446,934.14,3.14151194756,1.40425158928e-05
89,mean,9665.39095122,0.0265152439024,0.0,1.35,2.90987094692e-05,1.4469695122,934.14,3.14151221305,1.39990347317e-05
90,best,9650.02625,0.02925,0.0,1.35,2.91449978249e-05,1.4415,934.14,3.14151177951,1.40590178433e-05
90,mean,9660.38261607,0.0266875,0.0,1.35,2.91137894237e-05,1.446625,934.14,3.14151215216,1.40086604026e-05
91,best,9640.027,0.02775,0.0,1.35,2.91752294288e-05,1.4445,934.14,3.14151186375,1.40528617676e-05
91,mean,9657.2784533,0.0270164835165,0.0,1.35,2.91231369504e-05,1.44596703297,934.14,3.14151208967,1.40176828985e-05
92,best,9640.027,0.02925,0.0,1.35,2.91752294288e-05,1.4415,934.14,3.14151169562,1.40736010202e-05
92,mean,9654.12232831,0.0273885542169,0.0,1.35,2.91326701173e-05,1.44522289157,934.14,3.14151202187,1.40273887919e-05
93,best,9640.027,0.02925,0.0,1.35,2.91752294288e-05,1.4415,934.14,3.14151169562,1.40736010202e-05
93,mean,9650.5262125,0.02780625,0.0,1.35,2.91435257168e-05,1.4443875,934.14,3.14151194515,1.40383760743e-05
94,best,9630.02775,0.02925,0.0,1.35,2.92055228783e-05,1.4415,934.14,3.14151161156,1.40882140303e-05
94,mean,9647.026475,0.028115625,0.0,1.35,2.91540885883e-05,1.44376875,934.14,3.14151188131,1.40477334097e-05
95,best,9630.02775,0.03,0.0,1.35,2.92055228783e-05,1.44,934.14,3.14151152714,1.409861827e-05
95,mean,9642.35240698,0.028351744186,0.0,1.35,2.91682206088e-05,1.44329651163,934.14,3.14151181571,1.40578052748e-05
96,best,9630.02775,0.03,0.0,1.35,2.92055228783e-05,1.44,934.14,3.14151152714,1.409861827e-05
96,mean,9637.39561842,0.0285690789474,0.0,1.35,2.91832235522e-05,1.44286184211,934.14,3.14151174978,1.40680398777e-05
97,best,9620.0285,0.03,0.0,1.35,2.92358799925e-05,1.44,934.14,3.14151144281,1.41132728052e-05
97,mean,9633.22751,0.02866,0.0,1.35,2.91958458062e-05,1.44268,934.14,3.14151170459,1.40753827062e-05
98,best,9620.0285,0.0315,0.0,1.35,2.92358799925e-05,1.437,934.14,3.14151127327,1.41341508326e-05
98,mean,9627.17082143,0.029025974026,0.0,1.35,2.92142192777e-05,1.44194805195,934.14,3.1415116125,1.40893135498e-05
99,best,9610.02925,0.03075,0.0,1.35,2.92662989523e-05,1.4385,934.14,3.14151127354,1.41383990642e-05
99,mean,9624.96930588,0.0293294117647,0.0,1.35,2.92209095813e-05,1.44134117647,934.14,3.14151155972,1.40967568868e-05
100,best,9600.03,0.03075,0.0,1.35,2.92967833957e-05,1.4385,934.14,3.14151118878,1.41531259427e-05
100,mean,9621.4741747,0.0298554216867,0.0,1.35,2.92315120949e-05,1.44028915663,934.14,3.14151147108,1.41091711045e-05
101,best,9600.03,0.03075,0.0,1.35,2.92967833957e-05,1.4385,934.14,3.14151118878,1.41531259427e-05
101,mean,9617.75018987,0.0301708860759,0.0,1.35,2.92428220389e-05,1.43965822785,934.14,3.14151140416,1.41190078369e-05
102,best,9600.03,0.0315,0.0,1.35,2.92967833957e-05,1.437,934.14,3.14151110374,1.41635947176e-05
102,mean,9615.61324675,0.0304480519481,0.0,1.35,2.92493323404e-05,1.4391038961,934.14,3.14151135475,1.41260085216e-05
103,best,9600.03,0.03225,0.0,1.35,2.92967833957e-05,1.4355,934.14,3.14151101853,1.41740795579e-05
103,mean,9612.00441049,0.0305648148148,0.0,1.35,2.92603054496e-05,1.43887037037,934.14,3.14151131104,1.41329347568e-05
104,best,9600.03,0.03225,0.0,1.35,2.92967833957e-05,1.4355,934.14,3.14151101853,1.41740795579e-05
104,mean,9609.44105882,0.0308470588235,0.0,1.35,2.92681097455e-05,1.43830588235,934.14,3.14151125743,1.4140635395e-05
105,best,9600.03,0.033,0.0,1.35,2.92967833957e-05,1.434,934.14,3.14151093313,1.41845804995e-05
105,mean,9604.8444537,0.0314444444444,0.0,1.35,2.92821128419e-05,1.43711111111,934.14,3.14151115081,1.41557328224e-05
106,best,9580.0315,0.033,0.0,1.35,2.93579414574e-05,1.434,934.14,3.14151076254,1.42141913082e-05
106,mean,9601.73718902,0.031737804878,0.0,1.35,2.92915948393e-05,1.43652439024,934.14,3.14151109111,1.41644158644e-05
107,best,9580.0315,0.033,0.0,1.35,2.93579414574e-05,1.434,934.14,3.14151076254,1.42141913082e-05
107,mean,9596.97467361,0.03215625,0.0,1.35,2.93061327486e-05,1.4356875,934.14,3.14151100306,1.41772974499e-05
108,best,9580.0315,0.03375,0.0,1.35,2.93579414574e-05,1.4325,934.14,3.14151067679,1.42247303414e-05
108,mean,9592.29248512,0.0322678571429,0.0,1.35,2.93204410203e-05,1.43546428571,934.14,3.14151095048,1.41857834992e-05
109,best,9570.03225,0.03375,0.0,1.35,2.93886150757e-05,1.4325,934.14,3.14151059114,1.42395925534e-05
109,mean,9588.94649398,0.0325210843373,0.0,1.35,2.9330667618e-05,1.43495783133,934.14,3.14151089314,1.41942787668e-05
110,best,9560.033,0.03375,0.0,1.35,2.94193541777e-05,1.4325,934.14,3.14151050531,1.4254486494e-05
110,mean,9586.49442988,0.0326890243902,0.0,1.35,2.93381791358e-05,1.43462195122,934.14,3.14151085306,1.4200267697e-05
111,best,9560.033,0.0345,0.0,1.35,2.94193541777e-05,1.431,934.14,3.1415104192,1.42650638138e-05
111,mean,9580.74573214,0.032775,0.0,1.35,2.93557945562e-05,1.43445,934.14,3.14151079412,1.42100019853e-05
112,best,9560.033,0.0345,0.0,1.35,2.94193541777e-05,1.431,934.14,3.1415104192,1.42650638138e-05
